Time - Plot 0;Amplitude - Plot 0;
14;3.14159;0.35
15;3.14159;0.375
16;3.14159;0.4
17;3.14159;0.425
18;3.14159;0.45
19;3.14159;0.475
20;3.14159;0.5
21;3.14159;0.525
22;3.14159;0.55
23;3.14159;0.575
24;3.14159;0.6
25;3.14159;0.625
26;3.14159;0.65
27;3.14159;0.675
28;3.14159;0.7
29;3.14159;0.725
30;3.14159;0.75
31;3.14159;0.775
32;3.14159;0.8
33;3.14159;0.825
34;3.14159;0.85
35;3.14159;0.875
36;3.14159;0.9
37;3.14159;0.925
38;3.14159;0.95
39;3.14159;0.975
40;3.14159;1
41;3.14159;1.025
42;3.14159;1.05
43;3.14159;1.075
44;3.14159;1.1
45;3.14159;1.125
46;3.14159;1.15
47;3.14159;1.175
48;3.14159;1.2
49;3.14159;1.225
50;3.14159;1.25
51;3.14159;1.275
52;3.14159;1.3
53;3.14159;1.325
54;3.14159;1.35
55;3.14159;1.375
56;3.14159;1.4
57;3.14159;1.425
58;3.14159;1.45
59;3.14159;1.475
60;3.14159;1.5
61;3.14159;1.525
62;3.14159;1.55
63;3.14159;1.575
64;3.14159;1.6
65;3.14159;1.625
66;3.14159;1.65
67;3.14159;1.675
68;3.14159;1.7
69;3.14159;1.725
70;3.14159;1.75
71;3.14159;1.775
72;3.14159;1.8
73;3.14159;1.825
74;3.14159;1.85
75;3.14159;1.875
76;3.14159;1.9
77;3.14159;1.925
78;3.14159;1.95
79;3.14159;1.975
80;3.14159;2
81;3.14159;2.025
82;3.14159;2.05
83;3.14159;2.075
84;3.14159;2.1
85;3.14159;2.125
86;3.14159;2.15
87;3.14159;2.175
88;3.14159;2.2
89;3.14159;2.225
90;3.14159;2.25
91;3.14159;2.275
92;3.14159;2.3
93;3.14159;2.325
94;3.14159;2.35
95;3.14159;2.375
96;3.14159;2.4
97;3.14159;2.425
98;3.14159;2.45
99;3.14159;2.475
100;3.14159;2.5
101;3.14159;2.525
102;3.14159;2.55
103;3.14159;2.575
104;3.14159;2.6
105;3.14159;2.625
106;3.14159;2.65
107;3.14159;2.675
108;3.14159;2.7
109;3.14159;2.725
110;3.14159;2.75
111;3.14159;2.775
112;3.14159;2.8
113;3.14159;2.825
114;3.14159;2.85
115;3.14159;2.875
116;3.14159;2.9
117;3.14159;2.925
118;3.13723;2.95
119;3.14159;2.975
120;3.14159;3
121;3.14596;3.025
122;3.15468;3.05
123;3.15905;3.075
124;3.16777;3.1
125;3.1765;3.125
126;3.18523;3.15
127;3.19395;3.175
128;3.20704;3.2
129;3.21577;3.225
130;3.22886;3.25
131;3.24195;3.275
132;3.25068;3.3
133;3.26377;3.325
134;3.27686;3.35
135;3.28995;3.375
136;3.30304;3.4
137;3.32049;3.425
138;3.33358;3.45
139;3.35103;3.475
140;3.36412;3.5
141;3.38158;3.525
142;3.39903;3.55
143;3.41648;3.575
144;3.42957;3.6
145;3.44703;3.625
146;3.46012;3.65
147;3.46884;3.675
148;3.47757;3.7
149;3.49066;3.725
150;3.49939;3.75
151;3.50811;3.775
152;3.51248;3.8
153;3.5212;3.825
154;3.52993;3.85
155;3.53866;3.875
156;3.54302;3.9
157;3.55175;3.925
158;3.56047;3.95
159;3.56483;3.975
160;3.5692;4
161;3.5692;4.025
162;3.57356;4.05
163;3.57356;4.075
164;3.57792;4.1
165;3.57792;4.125
166;3.57792;4.15
167;3.57792;4.175
168;3.57792;4.2
169;3.57792;4.225
170;3.57792;4.25
171;3.57792;4.275
172;3.57792;4.3
173;3.57792;4.325
174;3.57792;4.35
175;3.58229;4.375
176;3.58229;4.4
177;3.58229;4.425
178;3.58229;4.45
179;3.58229;4.475
180;3.57792;4.5
181;3.57792;4.525
182;3.57792;4.55
183;3.57792;4.575
184;3.57356;4.6
185;3.57356;4.625
186;3.57356;4.65
187;3.57356;4.675
188;3.5692;4.7
189;3.5692;4.725
190;3.5692;4.75
191;3.5692;4.775
192;3.5692;4.8
193;3.56483;4.825
194;3.56483;4.85
195;3.56483;4.875
196;3.56483;4.9
197;3.56483;4.925
198;3.56483;4.95
199;3.56483;4.975
200;3.56483;5
201;3.56483;5.025
202;3.56483;5.05
203;3.56483;5.075
204;3.56483;5.1
205;3.56483;5.125
206;3.5692;5.15
207;3.5692;5.175
208;3.5692;5.2
209;3.5692;5.225
210;3.5692;5.25
211;3.56483;5.275
212;3.56483;5.3
213;3.56483;5.325
214;3.56483;5.35
215;3.56483;5.375
216;3.56483;5.4
217;3.56483;5.425
218;3.56483;5.45
219;3.56483;5.475
220;3.56483;5.5
221;3.56483;5.525
222;3.56483;5.55
223;3.56483;5.575
224;3.56483;5.6
225;3.56483;5.625
226;3.56483;5.65
227;3.56483;5.675
228;3.56047;5.7
229;3.55611;5.725
230;3.55175;5.75
231;3.54302;5.775
232;3.53866;5.8
233;3.53429;5.825
234;3.52993;5.85
235;3.52557;5.875
236;3.5212;5.9
237;3.51248;5.925
238;3.50811;5.95
239;3.50375;5.975
240;3.49939;6
241;3.49502;6.025
242;3.49066;6.05
243;3.4863;6.075
244;3.48193;6.1
245;3.47757;6.125
246;3.46884;6.15
247;3.46012;6.175
248;3.45139;6.2
249;3.44703;6.225
250;3.44266;6.25
251;3.43394;6.275
252;3.42957;6.3
253;3.42521;6.325
254;3.42085;6.35
255;3.41648;6.375
256;3.41212;6.4
257;3.41648;6.425
258;3.41648;6.45
259;3.41212;6.475
260;3.40776;6.5
261;3.40776;6.525
262;3.40339;6.55
263;3.39903;6.575
264;3.39903;6.6
265;3.39467;6.625
266;3.39903;6.65
267;3.39903;6.675
268;3.39467;6.7
269;3.39467;6.725
270;3.39467;6.75
271;3.39467;6.775
272;3.39467;6.8
273;3.39467;6.825
274;3.39467;6.85
275;3.39467;6.875
276;3.39467;6.9
277;3.39467;6.925
278;3.39467;6.95
279;3.39467;6.975
280;3.39467;7
281;3.39467;7.025
282;3.39467;7.05
283;3.39467;7.075
284;3.39467;7.1
285;3.39467;7.125
286;3.39467;7.15
287;3.39467;7.175
288;3.39467;7.2
289;3.39467;7.225
290;3.39467;7.25
291;3.39467;7.275
292;3.39467;7.3
293;3.39467;7.325
294;3.39467;7.35
295;3.39467;7.375
296;3.39467;7.4
297;3.39903;7.425
298;3.39903;7.45
299;3.39903;7.475
300;3.39903;7.5
301;3.39903;7.525
302;3.39903;7.55
303;3.40339;7.575
304;3.40339;7.6
305;3.40339;7.625
306;3.40339;7.65
307;3.40339;7.675
308;3.40339;7.7
309;3.40339;7.725
310;3.40339;7.75
311;3.40339;7.775
312;3.40339;7.8
313;3.40339;7.825
314;3.40339;7.85
315;3.40339;7.875
316;3.40339;7.9
317;3.40339;7.925
318;3.40339;7.95
319;3.40339;7.975
320;3.40339;8
321;3.40339;8.025
322;3.40339;8.05
323;3.40339;8.075
324;3.40339;8.1
325;3.40339;8.125
326;3.40339;8.15
327;3.40339;8.175
328;3.40339;8.2
329;3.40339;8.225
330;3.40339;8.25
331;3.40339;8.275
332;3.40339;8.3
333;3.40339;8.325
334;3.40339;8.35
335;3.40339;8.375
336;3.40339;8.4
337;3.40339;8.425
338;3.40339;8.45
339;3.40339;8.475
340;3.40339;8.5
341;3.40339;8.525
342;3.40339;8.55
343;3.40339;8.575
344;3.40339;8.6
345;3.40339;8.625
346;3.40339;8.65
347;3.40339;8.675
348;3.40339;8.7
349;3.40339;8.725
350;3.40339;8.75
351;3.40339;8.775
